just_date,Subject,Unique Recipients,Total Recipients
2021-06-01,Bem-vindo ao Skidos!,56,56
2021-06-01,Benvenuto a skidos,15,15
2021-06-01,Bienvenue à skidos,23,23
2021-06-01,Forgotten your password?,16,34
2021-06-01,Glemt passord?,1,2
2021-06-01,Hai dimenticato la password?,1,1
2021-06-01,Har du glemt din adgangskode?,1,3
2021-06-01,Restablecer contraseña,2,3
2021-06-01,Velkommen til Skidos!,15,15
2021-06-01,Välkommen till Skidos!,13,13
2021-06-01,Welcome to Skidos NL!,18,18
2021-06-01,Welcome to Skidos!,967,967
2021-06-01,Willkommen bei Skidos!,21,21
2021-06-01,[ALERT] Backend is down,1,2
2021-06-01,[Skidos] New password,68,89
2021-06-01,[Skidos] Nova senha,1,1
2021-06-01,[Skidos] Nuova password,1,1
2021-06-01,[Skidos] Please reset your password,58,154
2021-06-01,[Skidos] Redefina sua senha,2,4
2021-06-01,¡Bienvenido/a a SKIDOS!,36,36
2021-06-02,Bem-vindo ao Skidos!,68,68
2021-06-02,Benvenuto a skidos,31,31
2021-06-02,Bienvenue à skidos,32,32
2021-06-02,Forgotten your password?,16,32
2021-06-02,Glömt lösenord?,1,1
2021-06-02,Hai dimenticato la password?,2,4
2021-06-02,Har du glemt din adgangskode?,1,1
2021-06-02,Restablecer contraseña,1,2
2021-06-02,Velkommen til Skidos!,15,15
2021-06-02,Välkommen till Skidos!,10,10
2021-06-02,Welcome to SKIDOS!,1,1
2021-06-02,Welcome to Skidos NL!,11,11
2021-06-02,Welcome to Skidos!,999,999
2021-06-02,Willkommen bei Skidos!,11,11
2021-06-02,[Skidos] New password,59,71
2021-06-02,[Skidos] Nuova password,2,4
2021-06-02,[Skidos] Please reset your password,56,117
2021-06-02,[Skidos] Redefina sua senha,3,4
2021-06-02,¡Bienvenido/a a SKIDOS!,38,38
2021-06-03,Bem-vindo ao Skidos!,93,93
2021-06-03,Benvenuto a skidos,16,16
2021-06-03,Bienvenue à skidos,22,22
2021-06-03,Forgotten your password?,13,28
2021-06-03,Glemt passord?,2,5
2021-06-03,Glömt lösenord?,2,3
2021-06-03,Hai dimenticato la password?,1,2
2021-06-03,Har du glemt din adgangskode?,2,3
2021-06-03,Restablecer contraseña,1,2
2021-06-03,Velkommen til Skidos!,19,19
2021-06-03,Välkommen till Skidos!,11,11
2021-06-03,Welcome to SKIDOS!,1,1
2021-06-03,Welcome to Skidos NL!,14,14
2021-06-03,Welcome to Skidos!,1012,1012
2021-06-03,Willkommen bei Skidos!,16,16
2021-06-03,[Skidos] New password,62,74
2021-06-03,[Skidos] Nova senha,3,3
2021-06-03,[Skidos] Nuova password,1,1
2021-06-03,[Skidos] Please reset your password,50,112
2021-06-03,[Skidos] Redefina sua senha,4,6
2021-06-03,¡Bienvenido/a a SKIDOS!,45,45
2021-06-04,Bem-vindo ao Skidos!,96,96
2021-06-04,Benvenuto a skidos,19,19
2021-06-04,Bienvenue à skidos,20,20
2021-06-04,Forgotten your password?,14,27
2021-06-04,Glömt lösenord?,3,5
2021-06-04,Hai dimenticato la password?,2,5
2021-06-04,Har du glemt din adgangskode?,1,1
2021-06-04,Restablecer contraseña,1,4
2021-06-04,Velkommen til Skidos!,25,25
2021-06-04,Välkommen till Skidos!,23,23
2021-06-04,Welcome to Skidos NL!,12,12
2021-06-04,Welcome to Skidos!,928,928
2021-06-04,Willkommen bei Skidos!,15,15
2021-06-04,[Skidos] New password,64,73
2021-06-04,[Skidos] Nova senha,1,1
2021-06-04,[Skidos] Nuova password,2,3
2021-06-04,[Skidos] Please reset your password,58,113
2021-06-04,[Skidos] Redefina sua senha,5,10
2021-06-04,¡Bienvenido/a a SKIDOS!,41,41
2021-06-05,Bem-vindo ao Skidos!,75,75
2021-06-05,Benvenuto a skidos,36,36
2021-06-05,Bienvenue à skidos,59,59
2021-06-05,Forgotten your password?,19,41
2021-06-05,Glömt lösenord?,2,4
2021-06-05,Har du glemt din adgangskode?,2,6
2021-06-05,Mot de passe oublié?,2,6
2021-06-05,Restablecer contraseña,2,3
2021-06-05,Velkommen til Skidos!,36,36
2021-06-05,Välkommen till Skidos!,19,19
